year,exporter,value_trln_USD,quantity_mln_metric_tons
2023,RUS,0.09477279,203.03379023
2023,SAU,0.05504516,91.06162760
2023,IRQ,0.03546404,58.22870434
2023,ARE,0.03281740,53.32422973
2023,MYS,0.03068641,48.02923435
2023,OMN,0.02850045,46.45992766
2023,USA,0.02360726,47.09302837
2023,AUS,0.02198054,82.45942489
2023,BRA,0.02044681,38.11111603
2023,IDN,0.02011154,179.23389155
2023,QAT,0.01957335,32.28901047
2023,AGO,0.01697545,31.61181944
2023,KWT,0.01650892,26.99449064
2023,TKM,0.00960655,14.30405548
2023,MNG,0.00890415,46.70915360
2023,Other,0.05539961,115.45958199
