year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,32,DEU,0.00000475,0.00154782
1995,32,ESP,0.00000262,0.00129428
1995,32,Other,0.00001187,0.01539040
1995,33,USA,0.00001341,0.00225708
1995,33,MEX,0.00000376,0.00107376
1995,33,IRL,0.00000367,0.00011280
1995,33,SLV,0.00000200,0.00082409
1995,33,CHE,0.00000169,0.00008922
1995,33,Other,0.00001002,0.00142021
1995,34,SLV,0.00000807,0.01323204
1995,34,HND,0.00000532,0.00634689
1995,34,USA,0.00000368,0.00200554
1995,34,MEX,0.00000364,0.00263803
1995,34,DEU,0.00000199,0.00069070
1995,34,Other,0.00000262,0.00161539
1995,35,USA,0.00000202,0.00066504
1995,35,DNK,0.00000119,0.00008216
1995,35,MEX,0.00000072,0.00111922
1995,35,JPN,0.00000045,0.00000863
1995,35,COL,0.00000044,0.00008566
1995,35,Other,0.00000278,0.00079622
1995,36,PAN,0.00000064,0.00024696
1995,36,USA,0.00000055,0.00015630
1995,36,SLV,0.00000035,0.00015287
1995,36,HND,0.00000013,0.00005053
1995,36,DEU,0.00000002,0.00001056
1995,36,Other,0.00000002,0.00000423
1995,37,USA,0.00000881,0.00069726
1995,37,JPN,0.00000406,0.00025309
1995,37,PAN,0.00000102,0.00001540
1995,37,BEL,0.00000048,0.00003740
1995,37,DEU,0.00000030,0.00002882
1995,37,Other,0.00000073,0.00009025
1995,38,USA,0.00003453,0.01195762
1995,38,DEU,0.00000710,0.00080703
1995,38,COL,0.00000482,0.00177236
1995,38,MEX,0.00000345,0.00385450
1995,38,GBR,0.00000317,0.00068347
1995,38,Other,0.00002396,0.00764853
1995,39,USA,0.00009232,0.06273943
1995,39,MEX,0.00002055,0.01464368
1995,39,SLV,0.00000995,0.00495889
1995,39,CRI,0.00000511,0.00222063
1995,39,COL,0.00000476,0.00322569
1995,39,Other,0.00002929,0.01359299
1995,40,USA,0.00002463,0.01119112
1995,40,NZL,0.00001119,0.00625935
1995,40,GBR,0.00000799,0.00349045
1995,40,CRI,0.00000710,0.00740126
1995,40,JPN,0.00000670,0.00189074
1995,40,Other,0.00003770,0.01634393
1995,41,CRI,0.00000114,0.00042287
1995,41,SLV,0.00000103,0.00036008
