year,product_chapter,imports_trln_USD,exports_trln_USD
1996,87,0.00116249,0.00100904
1996,88,0.00005269,0.00000958
1996,89,0.00001465,0.00000298
1996,90,0.00053699,0.00026252
1996,91,0.00002221,0.00000469
1996,92,0.00000555,0.00000194
1996,93,0.00000428,0.00001028
1996,94,0.00022543,0.00040311
1996,95,0.00006830,0.00007657
1996,96,0.00006665,0.00001552
1996,97,0.00003681,0.00001133
1997,10,0.00004526,0.00047128
1997,11,0.00000696,0.00006166
1997,12,0.00005010,0.00013094
1997,13,0.00000934,0.00000211
1997,14,0.00000061,0.00000581
1997,15,0.00010762,0.00016352
1997,16,0.00001347,0.00017002
1997,17,0.00002275,0.00004115
1997,18,0.00005683,0.00004017
1997,19,0.00003224,0.00005512
1997,20,0.00012692,0.00088287
1997,21,0.00006128,0.00008527
1997,22,0.00003346,0.00016150
1997,23,0.00023196,0.00006160
1997,24,0.00008821,0.00007078
1997,25,0.00007113,0.00002325
1997,26,0.00003627,0.00000592
1997,27,0.00193294,0.00048688
1997,28,0.00014620,0.00015265
1997,29,0.00050410,0.00048400
1997,30,0.00046778,0.00040294
1997,31,0.00005819,0.00002136
1997,32,0.00018579,0.00003828
1997,33,0.00016985,0.00003941
1997,34,0.00010759,0.00004277
1997,35,0.00005191,0.00003287
1997,36,0.00000323,0.00000718
1997,37,0.00004609,0.00001275
1997,38,0.00028919,0.00012382
1997,39,0.00087597,0.00082162
1997,40,0.00032146,0.00029099
1997,41,0.00024678,0.00006346
1997,42,0.00004044,0.00008785
1997,43,0.00001121,0.00001131
1997,44,0.00019749,0.00034597
1997,45,0.00000761,0.00000081
1997,46,0.00000190,0.00000424
1997,47,0.00010172,0.00000549
1997,48,0.00059548,0.00029332
1997,49,0.00008968,0.00003825
1997,50,0.00002461,0.00006477
1997,51,0.00015347,0.00002850
1997,52,0.00023497,0.00006360
1997,53,0.00002666,0.00001407
1997,54,0.00016447,0.00005327
1997,55,0.00022754,0.00006002
1997,56,0.00004061,0.00003611
1997,57,0.00002993,0.00001523
1997,58,0.00008688,0.00001242
1997,59,0.00009717,0.00001371
1997,60,0.00013095,0.00002697
1997,61,0.00022006,0.00039723
1997,62,0.00022303,0.00078107
1997,63,0.00005584,0.00009213
1997,64,0.00023497,0.00038365
1997,65,0.00000575,0.00000248
1997,66,0.00000554,0.00000234
1997,67,0.00000396,0.00000123
1997,68,0.00008451,0.00006218
1997,69,0.00009879,0.00013607
1997,70,0.00015180,0.00020355
1997,71,0.00002692,0.00007960
1997,72,0.00047416,0.00039094
1997,73,0.00048862,0.00035668
1997,74,0.00018783,0.00008712
1997,75,0.00001084,0.00000084
1997,76,0.00048386,0.00055033
1997,78,0.00001341,0.00000174
1997,79,0.00003044,0.00000591
1997,80,0.00006184,0.00006444
1997,81,0.00002448,0.00004771
1997,82,0.00011194,0.00003876
1997,83,0.00014150,0.00009241
1997,84,0.00433105,0.00469671
1997,85,0.00374613,0.00357542
1997,86,0.00004509,0.00006249
1997,87,0.00139485,0.00134565
1997,88,0.00004161,0.00000710
1997,89,0.00000512,0.00000257
1997,90,0.00059458,0.00026600
1997,91,0.00002441,0.00000550
1997,92,0.00000497,0.00000176
1997,93,0.00001797,0.00000928
1997,94,0.00027043,0.00038391
1997,95,0.00009196,0.00008873
1997,96,0.00007136,0.00001867
1997,97,0.00001037,0.00000996
1998,10,0.00005909,0.00056823
1998,11,0.00000524,0.00004663
1998,12,0.00006551,0.00011649
1998,13,0.00000985,0.00000201
1998,14,0.00000071,0.00000775
1998,15,0.00013993,0.00013616
1998,16,0.00001752,0.00014505
1998,17,0.00002056,0.00006407
1998,18,0.00005833,0.00003564
1998,19,0.00003802,0.00005329
1998,20,0.00013500,0.00076711
1998,21,0.00006865,0.00009422
1998,22,0.00003003,0.00019430
1998,23,0.00025088,0.00006418
1998,24,0.00007966,0.00004634
1998,25,0.00007426,0.00003155
1998,26,0.00004049,0.00000417
1998,27,0.00159620,0.00045124
1998,28,0.00014716,0.00016652
1998,29,0.00046193,0.00044623
1998,30,0.00051100,0.00036227
1998,31,0.00005877,0.00001617
1998,32,0.00020481,0.00003921
1998,33,0.00019097,0.00004975
1998,34,0.00012611,0.00006074
1998,35,0.00006181,0.00002566
1998,36,0.00000376,0.00000720
1998,37,0.00005022,0.00001473
1998,38,0.00031231,0.00014420
1998,39,0.00104885,0.00080289
1998,40,0.00037201,0.00035493
1998,41,0.00026481,0.00004545
1998,42,0.00005592,0.00008628
1998,43,0.00001369,0.00001047
1998,44,0.00022519,0.00037538
1998,45,0.00000810,0.00000072
1998,46,0.00000215,0.00000387
1998,47,0.00009460,0.00000799
1998,48,0.00065075,0.00035959
1998,49,0.00010458,0.00004588
1998,50,0.00002685,0.00005225
1998,51,0.00013783,0.00002237
1998,52,0.00022247,0.00006387
1998,53,0.00002881,0.00001145
1998,54,0.00018910,0.00007546
1998,55,0.00024943,0.00005143
1998,56,0.00005152,0.00003776
1998,57,0.00003678,0.00001606
1998,58,0.00010794,0.00001608
1998,59,0.00010007,0.00001097
1998,60,0.00015882,0.00003334
1998,61,0.00026820,0.00050642
1998,62,0.00023232,0.00087274
1998,63,0.00007508,0.00009495
1998,64,0.00020640,0.00038762
1998,65,0.00000696,0.00000239
1998,66,0.00000500,0.00000173
1998,67,0.00000378,0.00000160
1998,68,0.00010998,0.00006172
1998,69,0.00011917,0.00014952
1998,70,0.00018434,0.00022963
1998,71,0.00003611,0.00009175
1998,72,0.00056785,0.00043495
1998,73,0.00064135,0.00041319
1998,74,0.00019242,0.00009017
1998,75,0.00001218,0.00000129
1998,76,0.00047928,0.00055627
1998,78,0.00000943,0.00000146
1998,79,0.00004246,0.00000468
1998,80,0.00006893,0.00006297
1998,81,0.00003375,0.00005350
1998,82,0.00013031,0.00004340
1998,83,0.00018660,0.00009492
1998,84,0.00563069,0.00707406
1998,85,0.00521599,0.00454318
1998,86,0.00006699,0.00008049
1998,87,0.00200131,0.00165631
1998,88,0.00004723,0.00000880
1998,89,0.00001296,0.00000729
1998,90,0.00069667,0.00030503
1998,91,0.00002859,0.00000551
1998,92,0.00000688,0.00000146
1998,93,0.00002743,0.00000918
1998,94,0.00030822,0.00044829
1998,95,0.00011358,0.00007780
1998,96,0.00007411,0.00001676
1998,97,0.00000261,0.00000941
1999,10,0.00008433,0.00042617
1999,11,0.00000415,0.00004397
1999,12,0.00005046,0.00012209
1999,13,0.00000896,0.00000188
1999,14,0.00000090,0.00000750
1999,15,0.00006676,0.00010931
1999,16,0.00001361,0.00010467
1999,17,0.00002082,0.00003366
1999,18,0.00005336,0.00002546
1999,19,0.00004603,0.00003853
