year,trade_pcn_gdp
1995,16.26309881
1996,16.84594112
1997,17.62977990
1998,17.52005987
1999,17.56530367
2000,19.21781425
2001,18.76685548
2002,18.95403239
2003,19.55775510
2004,20.94004186
2005,21.95231477
2006,23.34057193
2007,23.98631400
2008,25.19398508 
2010,22.60384945
2011,24.25555291
2012,23.86952740
2013,23.43295267
2014,22.96807269
2015,21.29255445
2016,20.44503099
2017,21.51506597
2018,22.01161297
2019,21.06148456
2020,20.02605082
2021,21.95566944
2022,23.82892743
2023,21.43796760
