year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2009,Food Related,0.00015053,0.10334876
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00010826,0.20790037
2009,"Ores, slag and ash",0.00005894,0.00099943
2009,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00004918,0.00649547
2009,Other,0.00006508,0.09264509
2010,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00025610,0.00310711
2010,"Ores, slag and ash",0.00024032,0.00395134
2010,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00007926,0.01091105
2010,Food Related,0.00007640,0.13365409
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00003203,0.05565945
2010,Other,0.00011219,0.12876647
2011,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00046406,0.00627064
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00031305,0.37187172
2011,"Ores, slag and ash",0.00024814,0.00168530
2011,Food Related,0.00009068,0.13793410
2011,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.00004470,0.04277177
2011,Other,0.00016599,0.16365059
2012,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00057553,0.00713055
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00031172,0.37224996
2012,Food Related,0.00017516,0.19106033
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00008997,0.03218669
2012,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.00007239,0.04050726
2012,Other,0.00010629,0.10049933
2013,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00132884,0.00176513
