year,country,value_trln_USD,quantity_mln_metric_tons
1995,AFG,-0.00021272,-0.15944233
1995,ALB,-0.00060196,-1.18403278
1995,DZA,-0.00038218,50.86520202
1995,AND,-0.00100564,-0.74095796
1995,AGO,0.00194190,24.87342164
1995,ATG,-0.00019777,-0.02870599
1995,AZE,-0.00029269,-0.40927210
1995,ARG,0.00308104,44.81191643
1995,AUS,-0.00173907,309.27677256
1995,AUT,-0.01300366,-19.19315040
1995,BHS,-0.00093760,1.38905375
1995,BHR,0.00001865,0.93437319
1995,BGD,-0.00141096,-11.39595548
1995,ARM,-0.00008523,-0.21007857
1995,BRB,-0.00031186,-0.47606032
1995,BEL,-0.00066154,-80.86605532
1995,BMU,-0.00089506,-0.65215934
1995,BTN,0.00001772,0.05851361
1995,BOL,-0.00067218,1.06151645
1995,BIH,-0.00073907,-0.84748268
1995,BRA,-0.00394142,112.06801120
1995,BLZ,-0.00012137,-1.22773274
1995,IOT,0.00000957,0.01388955
1995,SLB,0.00008426,0.49286832
1995,VGB,-0.00022916,-0.00452774
1995,BRN,-0.00047523,10.87814460
1995,BGR,-0.00001372,5.67354192
1995,MMR,-0.00114094,0.17595896
1995,BDI,-0.00006439,-0.26416876
1995,BLR,-0.00041787,4.23293391
1995,KHM,-0.00095979,-0.54496752
1995,CMR,0.00101129,5.26987437
1995,CAN,0.03057401,195.95477947
1995,CPV,-0.00020777,-0.47453609
1995,CYM,-0.00051449,-2.12100354
1995,CAF,-0.00000392,-0.02864940
1995,LKA,-0.00076376,-3.49465047
1995,TCD,-0.00013048,-0.19847626
1995,CHL,0.00112597,6.53095122
1995,CHN,0.09421171,724.75786645
1995,CXR,-0.00001966,0.02947462
1995,CCK,0.00000110,-0.00053643
1995,COL,-0.00290150,31.95633826
1995,COM,-0.00016951,-0.21494420
1995,COG,0.00073950,7.60850053
1995,COD,0.00035630,0.33744931
1995,COK,-0.00004212,-0.03297921
1995,CRI,0.00047073,-0.83641812
1995,HRV,-0.00287888,-3.41918842
1995,CUB,-0.00092460,-2.35864796
1995,CYP,-0.00310689,-3.83202929
1995,CZE,-0.00404315,-0.48892433
1995,BEN,-0.00072401,-0.79370362
1995,DNK,0.00212854,-11.21069820
1995,DMA,-0.00011724,0.00541699
1995,DOM,-0.00058261,-3.67984618
1995,ECU,0.00055892,13.51204896
1995,SLV,-0.00149335,-2.81065295
1995,GNQ,0.00002681,0.37498121
1995,ETH,-0.00103213,-1.92948490
1995,ERI,-0.00011720,-0.10380965
1995,EST,-0.00048590,0.83133047
1995,FLK,-0.00001528,-0.00254125
1995,FJI,-0.00005670,-0.01123097
1995,FIN,0.01063484,-14.48233651
1995,FRA,-0.00124530,-127.72105930
1995,PYF,-0.00053786,-0.45768565
1995,ATF,-0.00000350,0.00009294
1995,DJI,-0.00029700,-0.10816012
1995,GAB,0.00195462,17.91702674
1995,GEO,-0.00022863,-0.70779904
1995,GMB,-0.00013253,-0.39413804
1995,DEU,0.05633173,-205.08532499
1995,GHA,-0.00033432,-0.52139091
1995,GIB,-0.00053367,-2.64480128
1995,KIR,-0.00003314,-0.02801513
1995,GRC,-0.01542599,-8.30907357
1995,GRL,0.00006554,-0.15658624
1995,GRD,-0.00011649,-0.23299028
1995,GTM,-0.00076074,-3.79089761
1995,GIN,-0.00007719,11.35585486
1995,GUY,0.00012729,1.90641595
1995,HTI,-0.00059902,-1.14016625
1995,HND,0.00011105,-0.84706105
1995,HKG,-0.12406389,-771.19518388
1995,HUN,-0.00114046,-11.79139620
1995,ISL,0.00014893,-0.74802677
1995,IDN,0.01066463,192.65101167
1995,IRN,0.00763285,91.70569195
1995,IRQ,-0.00005374,3.51660326
1995,IRL,0.01082214,-14.73775802
1995,ISR,-0.00729994,-8.50342167
1995,ITA,0.02372176,-170.30251977
1995,CIV,0.00177786,0.08771965
1995,JAM,-0.00060575,2.83688269
1995,JPN,0.13923561,-647.48627453
1995,KAZ,0.00027003,8.10138464
1995,JOR,-0.00294644,-2.85479280
1995,KEN,-0.00095551,0.02427770
1995,PRK,-0.00027919,-2.08961427
1995,KOR,-0.00422512,-216.80075112
1995,KWT,0.00358807,69.21239757
1995,KGZ,-0.00022112,-4.95206128
1995,LAO,-0.00031046,-0.41444951
1995,LBN,-0.00477138,-5.60122671
1995,LVA,0.00058792,6.96884438
1995,LBR,-0.00395381,-3.21357004
1995,LBY,0.00490563,60.22498232
1995,LTU,-0.00044310,-1.99060190
1995,MAC,-0.00038420,-53.94289936
1995,MDG,-0.00002015,-0.54412264
1995,MWI,-0.00015403,-1.12388705
1995,MYS,0.01370076,28.86167075
1995,MDV,-0.00023700,-0.60304311
1995,MLI,-0.00037139,-0.79075319
1995,MLT,-0.00139767,-2.86901222
1995,MRT,0.00011011,10.56869755
1995,MUS,-0.00059498,-1.61903916
1995,MEX,0.01470788,72.67541668
1995,S19,0.02982118,-69.11376713
1995,MNG,0.00001290,0.21138219
1995,MDA,-0.00009888,-1.90028809
1995,MSR,-0.00001621,-0.00156298
1995,MAR,-0.00230865,-4.34244690
1995,MOZ,-0.00080025,-1.69355322
1995,OMN,0.00021391,35.54296675
1995,NRU,0.00002288,0.51933199
1995,NPL,-0.00034154,-0.51165616
1995,NLD,-0.00138150,-66.45640047
1995,ANT,-0.00129249,1.81660450
1995,ABW,0.00010786,2.72632657
1995,NCL,-0.00023988,3.04503954
1995,VUT,-0.00008497,-0.06003823
1995,NZL,0.00008879,5.92854704
1995,NIC,-0.00058466,-1.48559252
1995,NER,0.00003943,-0.24394383
1995,NGA,0.00821545,81.88651780
1995,NIU,-0.00003631,-0.00437843
1995,NFK,0.00006833,-0.00349183
1995,NOR,0.01113818,163.67193815
1995,MNP,-0.00007807,-0.08006679
1995,FSM,0.00006562,-0.02407134
1995,MHL,-0.00054257,-0.21382256
1995,PLW,0.00000428,-0.00824745
1995,PAK,-0.00094097,-5.04718137
1995,PAN,-0.01131429,-11.66364784
1995,PNG,0.00157849,6.92280913
1995,PRY,-0.00264101,0.72252913
1995,PER,-0.00234079,2.55298936
1995,PHL,-0.00685827,-8.22780175
1995,PCN,-0.00000196,0.00818196
1995,POL,-0.00626682,21.27830662
1995,PRT,-0.01148639,-29.03783463
1995,GNB,-0.00000837,-0.01417381
1995,TLS,-0.00000235,-0.01413400
1995,QAT,0.00107425,21.00137328
1995,ROU,-0.00169406,-10.89992778
1995,RUS,0.01907998,226.52159683
1995,RWA,-0.00011530,-0.20996829
1995,SHN,-0.00001584,-0.02292698
1995,KNA,-0.00011040,-0.10649320
1995,AIA,-0.00032213,-0.07132990
1995,LCA,-0.00027781,-0.85677594
1995,SPM,-0.00004522,-0.03213651
