year,USA,HKG,GBR,IND,FRA
1995,25.35394327,22.23698366,5.99615754,-0.37565000,0.22320582
1996,22.59105417,20.85669418,6.26498673,-0.60214951,-0.57880801
1997,22.79740604,22.45324173,6.73310298,-0.48888653,-2.26536508
1998,27.73795178,17.22264931,8.65552645,0.29829094,-1.77323535
1999,36.58129518,14.17991994,8.04758810,1.19875283,-1.60876697
2000,38.66630621,15.17057417,8.73347757,-0.51331621,0.82296837
2001,39.45055301,15.39724809,9.03606979,-0.78963713,-0.19104168
2002,43.34175201,14.26361126,9.65163659,-0.92355855,-0.33491029
2003,41.60573506,14.06472385,10.42190954,-0.80838696,-0.00556622
2004,40.91162918,13.10646062,9.93417834,-0.75464870,1.23138424
2005,42.84267643,12.78118810,8.73147599,-0.11706013,2.09107139
2006,39.41798035,12.27987801,9.45874506,1.61229383,2.08085216
2007,34.11468996,11.88232305,9.03869608,2.70695245,2.74001780
2008,30.54613335,11.22643895,8.04381251,3.78067180,2.92367483
2009,27.35981781,14.77879365,7.46119674,4.23401265,3.11124697
2010,30.42113184,15.73269742,8.27718680,5.02274281,3.72987798
2011,29.59767938,15.21016322,8.40482524,5.68022967,4.62700592
2012,30.16588777,16.97378110,7.34841061,7.03938712,3.24485934
2013,30.20109714,18.68637751,7.80940458,5.71421986,3.11760507
2014,31.27184317,17.98938344,8.34677823,5.21936128,2.44524015
2015,32.35171011,19.17995611,9.93994271,4.18595074,1.91834594
2016,33.16534684,18.31401499,10.49301576,3.54847923,2.16155647
2017,32.57627187,19.65950957,8.67551321,5.36888178,2.52627993
2018,32.96549717,18.52506091,7.83665334,6.19800845,2.49769407
2019,33.98768992,17.17827961,8.22586290,5.60040482,2.17202130
2020,35.88631236,17.42744702,9.43850260,3.27448984,3.33723265
2021,34.47597593,18.01083423,8.31617404,5.19135894,3.87201944
2022,31.64641522,13.82960118,7.95495452,6.46713501,4.61931980
2023,33.09109577,15.35313186,9.07960174,6.54351713,3.99753062
