exporter,value_trln_USD,quantity_mln_metric_tons
AFG,-0.00485040,-5.43173408
ALB,-0.00450880,-1.98060862
DZA,0.01244086,51.32234990
ASM,-0.00016320,-0.14900420
AND,-0.00171089,-0.63180384
AGO,0.02556708,57.44927046
ATG,-0.00071163,-0.51277595
AZE,0.01247663,39.58930388
ARG,-0.00524452,44.48328004
AUS,0.09191260,1388.66506027
AUT,-0.00908422,-15.54823493
BHS,-0.00568337,-2.15453252
BHR,0.00242038,4.94655055
BGD,-0.01195670,-93.81504673
ARM,-0.00435562,-5.48897697
BRB,-0.00205680,-1.12916910
BEL,-0.00011430,-11.19542802
BMU,-0.00102666,-0.33602501
BTN,-0.00074460,3.29101678
BOL,-0.00003096,8.42124675
BIH,-0.00618838,-0.61497521
BWA,-0.00002570,-2.38269997
BRA,0.10213211,646.24503569
BLZ,-0.00132925,-0.89185291
IOT,-0.00005010,-0.05674323
SLB,-0.00000206,1.09691528
VGB,-0.00057590,-0.16002724
BRN,0.00251999,6.35318033
BGR,-0.00201140,5.04427148
MMR,-0.00204086,-1.39188906
BDI,-0.00047651,-0.74540872
BLR,-0.01021259,7.71432001
KHM,0.00364611,8.31715881
CMR,-0.00192138,0.27195169
CAN,0.04163305,397.98421981
CPV,-0.00166068,-1.49338406
CYM,-0.00248193,-0.83650322
CAF,-0.00061268,-0.23796331
LKA,-0.00353501,-14.87034567
TCD,0.00300647,4.72907460
CHL,0.01425685,-3.13023280
CHN,1.22887144,-1395.53739630
CXR,-0.00007536,0.00243575
CCK,-0.00000719,-0.00234113
COL,-0.00701625,77.21254084
COM,-0.00035451,-0.60689031
COG,0.00557170,9.43670695
COD,0.00782608,-4.27835427
COK,-0.00018252,-0.07625969
CRI,0.00106775,-2.29069522
HRV,-0.02050429,-11.14697960
CUB,-0.00291251,-2.04648923
CYP,-0.00957070,-4.87692327
CZE,-0.00444269,-6.19518379
BEN,-0.00356413,-4.99176821
DNK,-0.00814984,-22.06305742
DMA,-0.00041072,-0.21452852
DOM,-0.01687470,-18.39592014
ECU,0.00742933,15.71967130
SLV,-0.00907991,-7.85208656
GNQ,0.00412454,6.89197161
ETH,-0.01583949,-13.66606319
ERI,0.00008915,-0.01823175
EST,-0.00175790,2.36773640
FLK,0.00019099,-0.00666009
FJI,-0.00202913,-0.93738558
FIN,0.00333470,-0.31624134
FRA,-0.13824255,-137.88854568
PYF,-0.00109094,-0.41946590
ATF,-0.00001253,-0.00393975
DJI,-0.00608789,-4.60209752
GAB,0.00616163,19.68297875
GEO,-0.00982373,-8.09089031
GMB,0.00058283,-3.32648619
PSE,-0.00178276,-2.04421594
DEU,0.19480892,-151.38245311
GHA,0.00669090,-3.89132995
GIB,-0.01013868,-13.66287524
KIR,-0.00007491,-0.05472422
GRC,-0.03386163,-14.66399223
GRL,0.00055341,-0.03835496
GRD,-0.00059355,-0.29578917
GUM,-0.00089440,-0.83876693
GTM,-0.01504016,-8.37565115
GIN,0.01121282,19.32310252
GUY,0.01181785,14.11287471
HTI,-0.00269159,-4.26517683
HND,-0.00501633,-3.09677106
HKG,-0.53094179,-884.66729085
HUN,0.00554841,-11.41077424
ISL,-0.00254838,-3.12307732
