year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00269723,4.92701141
2009,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00012816,0.00007966
2009,Organic chemicals,0.00008190,0.11123375
2009,Pharmaceutical products,0.00004529,0.02712874
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00004135,0.00701601
2009,Other,0.00021085,0.20580330
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00143154,2.42937221
2010,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00010326,0.00006842
2010,Pharmaceutical products,0.00004379,0.02363953
2010,Food Related,0.00002044,0.01667613
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001896,0.00128707
2010,Other,0.00012114,0.18133172
