year,product_chapter,imports_trln_USD,exports_trln_USD
1996,87,0.00272327,0.00020623
1996,88,0.00085147,0.00002128
1996,89,0.00012667,0.00001271
1996,90,0.00069024,0.00061893
1996,91,0.00011926,0.00028663
1996,92,0.00000962,0.00000228
1996,93,0.00002158,0.00000352
1996,94,0.00011527,0.00040064
1996,95,0.00009164,0.00021509
1996,96,0.00009173,0.00007983
1996,97,0.00000353,0.00000406
1997,10,0.00086445,0.00000626
1997,11,0.00008274,0.00000678
1997,12,0.00010550,0.00004887
1997,13,0.00001153,0.00007373
1997,14,0.00000114,0.00000360
1997,15,0.00006671,0.00073566
1997,16,0.00002817,0.00022087
1997,17,0.00008826,0.00014674
1997,18,0.00007604,0.00002907
1997,19,0.00013170,0.00004372
1997,20,0.00022325,0.00031238
1997,21,0.00010588,0.00003754
1997,22,0.00008995,0.00004769
1997,23,0.00036581,0.00006122
1997,24,0.00023562,0.00007235
1997,25,0.00024881,0.00002983
1997,26,0.00047333,0.00039508
1997,27,0.00328774,0.00037051
1997,28,0.00029666,0.00003094
1997,29,0.00059412,0.00003106
1997,30,0.00039865,0.00035302
1997,31,0.00028210,0.00010105
1997,32,0.00021074,0.00001786
1997,33,0.00017501,0.00001445
1997,34,0.00007310,0.00002437
1997,35,0.00006573,0.00000541
1997,36,0.00000614,0.00001023
1997,37,0.00008627,0.00000638
1997,38,0.00031542,0.00006974
1997,39,0.00129144,0.00020932
1997,40,0.00069728,0.00007681
1997,41,0.00012297,0.00000741
1997,42,0.00002544,0.00032425
1997,43,0.00000156,0.00000046
1997,44,0.00034323,0.00023725
1997,45,0.00000117,0.00000009
1997,46,0.00000072,0.00009612
1997,47,0.00010253,0.00005891
1997,48,0.00045660,0.00007654
1997,49,0.00009119,0.00001134
1997,50,0.00000565,0.00000906
1997,51,0.00006302,0.00000430
1997,52,0.00045530,0.00006076
1997,53,0.00001408,0.00003310
1997,54,0.00029941,0.00004021
1997,55,0.00035710,0.00006453
1997,56,0.00005313,0.00003783
1997,57,0.00001624,0.00000509
1997,58,0.00010474,0.00002024
1997,59,0.00013221,0.00000142
1997,60,0.00031892,0.00008438
1997,61,0.00005184,0.00114224
1997,62,0.00007350,0.00142005
1997,63,0.00005022,0.00010434
1997,64,0.00010166,0.00027985
1997,65,0.00000310,0.00004139
1997,66,0.00001163,0.00000137
1997,67,0.00000392,0.00001896
1997,68,0.00009366,0.00002474
1997,69,0.00010213,0.00007666
1997,70,0.00012383,0.00008284
1997,71,0.00012098,0.00030655
1997,72,0.00151433,0.00007978
1997,73,0.00059853,0.00016246
1997,74,0.00023858,0.00047366
1997,75,0.00000872,0.00000323
1997,76,0.00031741,0.00003953
1997,78,0.00001114,0.00000058
1997,79,0.00008657,0.00000254
1997,80,0.00009322,0.00065315
1997,81,0.00001530,0.00005848
1997,82,0.00007354,0.00002764
1997,83,0.00008774,0.00004278
1997,84,0.00689557,0.00650532
1997,85,0.01069209,0.01379736
1997,86,0.00003163,0.00000035
1997,87,0.00193034,0.00040213
1997,88,0.00169944,0.00005399
1997,89,0.00019854,0.00010645
1997,90,0.00072161,0.00073899
1997,91,0.00012522,0.00025332
1997,92,0.00000878,0.00000193
1997,93,0.00002230,0.00000348
1997,94,0.00015288,0.00044498
1997,95,0.00010139,0.00018517
1997,96,0.00009530,0.00006298
1997,97,0.00000579,0.00000511
1998,10,0.00108376,0.00000443
1998,11,0.00006300,0.00000654
1998,12,0.00009724,0.00003835
1998,13,0.00001348,0.00006566
1998,14,0.00000113,0.00000366
1998,15,0.00008250,0.00093463
1998,16,0.00002843,0.00027937
1998,17,0.00015568,0.00013068
1998,18,0.00005223,0.00002433
1998,19,0.00008104,0.00003590
1998,20,0.00017332,0.00028040
1998,21,0.00009160,0.00003616
1998,22,0.00004730,0.00004149
1998,23,0.00030890,0.00005372
1998,24,0.00017966,0.00005729
1998,25,0.00013300,0.00003482
1998,26,0.00031372,0.00027838
1998,27,0.00227345,0.00023910
1998,28,0.00024111,0.00004105
1998,29,0.00048240,0.00003088
1998,30,0.00036417,0.00038318
1998,31,0.00021025,0.00008911
1998,32,0.00015528,0.00000868
1998,33,0.00016246,0.00001492
1998,34,0.00005750,0.00001784
1998,35,0.00005016,0.00000407
1998,36,0.00000669,0.00000887
1998,37,0.00007138,0.00000100
1998,38,0.00027528,0.00006877
1998,39,0.00089965,0.00019587
1998,40,0.00049442,0.00007632
1998,41,0.00008273,0.00000843
1998,42,0.00001644,0.00036222
1998,43,0.00000259,0.00000223
1998,44,0.00019593,0.00018001
1998,45,0.00000203,0.00000028
1998,46,0.00000053,0.00008562
1998,47,0.00009791,0.00005408
1998,48,0.00036055,0.00011082
1998,49,0.00007722,0.00001076
1998,50,0.00000609,0.00000990
1998,51,0.00005324,0.00000551
1998,52,0.00037983,0.00002293
1998,53,0.00002382,0.00002650
1998,54,0.00027522,0.00005440
1998,55,0.00029814,0.00006029
1998,56,0.00003785,0.00003534
1998,57,0.00000754,0.00000573
1998,58,0.00009397,0.00001856
1998,59,0.00010698,0.00000141
1998,60,0.00032849,0.00006623
1998,61,0.00004049,0.00111991
1998,62,0.00006554,0.00145607
1998,63,0.00003909,0.00008917
1998,64,0.00007074,0.00024120
1998,65,0.00000228,0.00003442
1998,66,0.00001605,0.00000122
1998,67,0.00000305,0.00002076
1998,68,0.00005177,0.00002508
1998,69,0.00007791,0.00008075
1998,70,0.00008651,0.00009123
1998,71,0.00009676,0.00036271
1998,72,0.00089645,0.00006484
1998,73,0.00040528,0.00010309
1998,74,0.00021456,0.00033885
1998,75,0.00000321,0.00000413
1998,76,0.00019851,0.00003815
1998,78,0.00000682,0.00000250
1998,79,0.00004781,0.00000218
1998,80,0.00005708,0.00067450
1998,81,0.00001058,0.00001530
1998,82,0.00005277,0.00002307
1998,83,0.00006984,0.00005044
1998,84,0.00515325,0.00750310
1998,85,0.00941243,0.01638979
1998,86,0.00022336,0.00000379
1998,87,0.00083013,0.00023471
1998,88,0.00049621,0.00003942
1998,89,0.00034047,0.00004463
1998,90,0.00066180,0.00074064
1998,91,0.00010723,0.00025513
1998,92,0.00000480,0.00000161
1998,93,0.00002023,0.00000404
1998,94,0.00009556,0.00046902
1998,95,0.00007113,0.00017140
1998,96,0.00008735,0.00005099
1998,97,0.00000572,0.00000320
1999,10,0.00075554,0.00000581
1999,11,0.00007342,0.00000753
1999,12,0.00018229,0.00004255
1999,13,0.00001485,0.00008139
1999,14,0.00000151,0.00000350
1999,15,0.00012476,0.00052172
1999,16,0.00003552,0.00022617
1999,17,0.00013941,0.00009626
1999,18,0.00006196,0.00001433
1999,19,0.00009046,0.00003969
1999,20,0.00023696,0.00030007
1999,21,0.00013460,0.00004162
1999,22,0.00006146,0.00005558
1999,23,0.00023122,0.00003796
1999,24,0.00015628,0.00006600
1999,25,0.00017998,0.00006214
1999,26,0.00036913,0.00028963
1999,27,0.00265955,0.00026424
1999,28,0.00021914,0.00004600
1999,29,0.00058022,0.00003156
1999,30,0.00042132,0.00039554
1999,31,0.00018971,0.00004583
1999,32,0.00020299,0.00001124
1999,33,0.00018054,0.00001705
1999,34,0.00007176,0.00001292
1999,35,0.00006300,0.00000246
1999,36,0.00000589,0.00000798
1999,37,0.00009276,0.00000134
1999,38,0.00034527,0.00006402
1999,39,0.00099797,0.00021481
