year,product_chapter,exporter,value_trln_USD
1995,57,SGP,0.00000000
1995,58,JPN,0.00000002
1995,58,AUS,0.00000001
1995,58,NZL,0.00000001
1995,58,SGP,0.00000000
1995,59,AUS,0.00000001
1995,59,SGP,0.00000001
1995,59,NZL,0.00000001
1995,59,USA,0.00000000
1995,60,NZL,0.00000000
1995,60,ECU,0.00000000
1995,61,HKG,0.00000020
1995,61,THA,0.00000017
1995,61,SGP,0.00000016
1995,61,NZL,0.00000004
1995,61,AUS,0.00000002
1995,61,Other,0.00000004
1995,62,SGP,0.00000034
1995,62,HKG,0.00000020
1995,62,THA,0.00000007
1995,62,AUS,0.00000006
1995,62,NZL,0.00000003
1995,62,Other,0.00000004
1995,63,AUS,0.00000012
1995,63,HKG,0.00000011
1995,63,NZL,0.00000010
1995,63,JPN,0.00000008
1995,63,THA,0.00000003
1995,63,Other,0.00000004
1995,64,HKG,0.00000040
1995,64,THA,0.00000037
1995,64,NZL,0.00000010
1995,64,AUS,0.00000009
1995,64,SGP,0.00000007
1995,64,Other,0.00000007
1995,65,NZL,0.00000001
1995,65,SGP,0.00000000
1995,65,AUS,0.00000000
1995,66,HKG,0.00000001
1995,66,CHN,0.00000000
1995,66,AUS,0.00000000
1995,66,NZL,0.00000000
1995,66,SGP,0.00000000
1995,67,HKG,0.00000002
1995,67,FRA,0.00000001
1995,67,AUS,0.00000001
1995,67,SGP,0.00000000
1995,67,NZL,0.00000000
1995,68,NZL,0.00000010
1995,68,AUS,0.00000004
1995,68,ITA,0.00000002
1995,68,SGP,0.00000002
1995,68,JPN,0.00000001
1995,69,AUS,0.00000018
1995,69,FRA,0.00000018
1995,69,ITA,0.00000012
1995,69,HKG,0.00000008
1995,69,ESP,0.00000003
1995,69,Other,0.00000004
1995,70,AUS,0.00000028
1995,70,NZL,0.00000017
1995,70,FRA,0.00000006
1995,70,SGP,0.00000004
1995,70,GRC,0.00000002
1995,70,Other,0.00000004
1995,71,GBR,0.00000020
1995,71,AUS,0.00000015
1995,71,NZL,0.00000001
1995,71,ESP,0.00000001
1995,71,SGP,0.00000001
1995,71,Other,0.00000000
1995,72,AUS,0.00000103
1995,72,NZL,0.00000086
1995,72,JPN,0.00000019
1995,72,KOR,0.00000009
1995,72,SGP,0.00000007
1995,72,Other,0.00000001
1995,73,NZL,0.00000071
1995,73,AUS,0.00000060
1995,73,CHN,0.00000050
1995,73,SGP,0.00000022
1995,73,JPN,0.00000010
1995,73,Other,0.00000019
1995,74,AUS,0.00000004
1995,74,NZL,0.00000002
1995,74,FRA,0.00000001
1995,74,USA,0.00000001
1995,74,ITA,0.00000001
1995,74,Other,0.00000001
1995,76,NZL,0.00000030
1995,76,AUS,0.00000017
1995,76,CHN,0.00000002
1995,76,SGP,0.00000002
1995,76,HKG,0.00000001
1995,76,Other,0.00000002
1995,79,NZL,0.00000002
1995,79,MYS,0.00000001
1995,79,AUS,0.00000000
1995,79,SGP,0.00000000
1995,80,NZL,0.00000002
1995,80,AUS,0.00000001
1995,81,KOR,0.00000001
1995,81,NZL,0.00000000
1995,81,AUS,0.00000000
1995,82,FRA,0.00000016
1995,82,SGP,0.00000009
1995,82,NZL,0.00000007
1995,82,AUS,0.00000007
1995,82,JPN,0.00000007
1995,82,Other,0.00000011
1995,83,NZL,0.00000016
1995,83,AUS,0.00000014
1995,83,SGP,0.00000005
1995,83,FRA,0.00000004
1995,83,JPN,0.00000002
1995,83,Other,0.00000002
1995,84,AUS,0.00000325
1995,84,JPN,0.00000169
1995,84,SGP,0.00000134
1995,84,NZL,0.00000083
1995,84,MYS,0.00000076
1995,84,Other,0.00000171
1995,85,FRA,0.00000161
1995,85,AUS,0.00000151
1995,85,JPN,0.00000142
1995,85,ITA,0.00000065
1995,85,SGP,0.00000056
1995,85,Other,0.00000107
1995,86,AUS,0.00000000
1995,87,JPN,0.00000366
1995,87,KOR,0.00000163
1995,87,AUS,0.00000037
1995,87,SGP,0.00000014
1995,87,ITA,0.00000009
1995,87,Other,0.00000030
