year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2015,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00055027,0.01358218
2015,Sugars and sugar confectionery,0.00045955,0.71492912
2015,Chemical products n.e.c.,0.00021739,0.01884108
2015,Apparel and clothing accessories; not knitted or crocheted,0.00009895,0.00475534
2015,Wood and articles of wood; wood charcoal,0.00007428,0.51809171
2015,Other,0.00064754,0.54883955
2016,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00057548,0.01515410
2016,Sugars and sugar confectionery,0.00035805,0.65965850
2016,Chemical products n.e.c.,0.00017317,0.01611633
2016,Apparel and clothing accessories; not knitted or crocheted,0.00011400,0.00994682
2016,Wood and articles of wood; wood charcoal,0.00008762,1.01240004
2016,Other,0.00050562,0.59991914
2017,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00065185,0.01386804
2017,Sugars and sugar confectionery,0.00036571,0.56223930
2017,Chemical products n.e.c.,0.00022297,0.01197315
2017,Apparel and clothing accessories; not knitted or crocheted,0.00013705,0.00586890
2017,Wood and articles of wood; wood charcoal,0.00009689,0.79432386
2017,Other,0.00055762,0.70449812
2018,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00064505,0.01451654
2018,Sugars and sugar confectionery,0.00034415,0.57689171
2018,Chemical products n.e.c.,0.00020794,0.01576183
2018,Apparel and clothing accessories; not knitted or crocheted,0.00015424,0.00650973
2018,Wood and articles of wood; wood charcoal,0.00014101,0.74984838
2018,Other,0.00060725,0.51496377
2019,Glass and glassware,0.00144569,0.00213342
2019,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00064752,0.01547047
2019,Sugars and sugar confectionery,0.00045783,0.82678311
2019,Chemical products n.e.c.,0.00023170,0.01630874
2019,Apparel and clothing accessories; not knitted or crocheted,0.00015563,0.00641707
2019,Other,0.00068843,1.35878898
2020,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00054116,0.01167280
2020,Sugars and sugar confectionery,0.00044769,0.74026486
2020,Chemical products n.e.c.,0.00020770,0.01293391
2020,Apparel and clothing accessories; not knitted or crocheted,0.00011520,0.00476396
2020,Wood and articles of wood; wood charcoal,0.00009407,0.63014034
2020,Other,0.00056401,0.63600761
2021,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00061798,0.01356766
2021,Sugars and sugar confectionery,0.00047437,0.71074175
2021,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00028053,0.00024759
2021,Chemical products n.e.c.,0.00024953,0.01766702
2021,Apparel and clothing accessories; not knitted or crocheted,0.00015203,0.00601159
2021,Other,0.00071054,1.37806480
2022,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00060221,0.01258729
2022,Sugars and sugar confectionery,0.00040437,0.57044975
2022,Chemical products n.e.c.,0.00025945,0.01376574
2022,Apparel and clothing accessories; not knitted or crocheted,0.00017356,0.00642958
2022,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00014483,0.38049811
2022,Other,0.00067510,1.30810312
2023,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00059953,0.01299220
2023,Sugars and sugar confectionery,0.00048070,0.62994388
2023,Chemical products n.e.c.,0.00026435,0.01471283
2023,Apparel and clothing accessories; not knitted or crocheted,0.00017254,0.00639187
2023,Wood and articles of wood; wood charcoal,0.00013400,0.90370230
2023,Other,0.00063773,0.78424658
