year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.12378831,357.14003285
2008,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05172184,4.16890021
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03387485,1.71832407
2008,Food Related,0.03292496,49.03723144
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01656006,0.50788437
2008,Other,0.18442835,188.27713231
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.07139549,151.23611033
2009,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.03438927,2.59187417
2009,Food Related,0.02662493,43.50502629
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02660107,1.15376627
2009,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01351050,0.34144481
2009,Other,0.13207363,150.25924417
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.09290584,205.90603422
2010,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.04960151,3.59644976
2010,Food Related,0.02898513,44.38187235
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02787969,1.32176717
2010,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.01436477,4.34421803
2010,Other,0.16245898,168.85757504
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.11559271,217.49688505
2011,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05379835,4.36162051
2011,Food Related,0.03428314,43.75738978
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03117186,1.60467424
2011,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.01619922,4.42953403
2011,Other,0.18507997,184.90006770
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.11745615,203.94299693
2012,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06250763,4.32181378
2012,Food Related,0.03610906,46.22730893
2012,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03275813,1.59438410
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.01494171,3.55746426
2012,Other,0.17774748,185.97384690
2013,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.12342559,222.17742534
2013,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06045877,4.31427293
2013,Food Related,0.03668279,47.88698465
2013,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03118165,1.46806540
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.02528436,5.14314008
2013,Other,0.17905391,213.48314844
2014,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.13039373,194.53784416
2014,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06049383,4.48845909
2014,Food Related,0.03855839,55.60369791
2014,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03199445,1.40793043
2014,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.02396045,5.96882749
2014,Other,0.18273908,186.97869958
2015,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.07873555,230.85690821
2015,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06029812,4.31610340
2015,Food Related,0.03568659,54.94584890
2015,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03049366,1.44997321
2015,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.02265233,6.17640294
2015,Other,0.17121007,197.66414925
2016,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06342093,4.54385589
2016,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.06288972,256.37656769
2016,Food Related,0.03430935,53.87577188
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02882920,1.49220857
2016,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.02207238,5.86280778
2016,Other,0.16125865,195.89350616
2017,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.08670658,230.41171150
2017,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06179818,4.37039355
2017,Food Related,0.03622202,55.88349486
