year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2007,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000471,0.00128144
2007,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000123,0.00032063
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000053,0.00002144
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000031,0.00022894
2007,Other,0.00000130,0.00148574
2008,Pharmaceutical products,0.00016510,0.06586874
2008,"Ships, boats and floating structures",0.00001776,0.00000000
2008,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000584,0.00176067
2008,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000133,0.00029827
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000044,0.00000187
2008,Other,0.00000131,0.00020676
2009,Pharmaceutical products,0.00013120,0.05543589
2009,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000572,0.00189551
2009,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000138,0.00033406
2009,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000038,0.00003968
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000023,0.00000329
2009,Other,0.00000108,0.00039402
2010,Pharmaceutical products,0.00016580,0.07131137
2010,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000678,0.00162227
2010,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000174,0.00039359
2010,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",0.00000025,0.00003917
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000023,0.00000469
2010,Other,0.00000075,0.00033245
2011,Pharmaceutical products,0.00016958,0.05390936
2011,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000869,0.00167579
2011,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000283,0.00039624
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000036,0.00003441
2011,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000032,0.00000739
2011,Other,0.00000116,0.00034858
2012,Pharmaceutical products,0.00019481,0.07294233
2012,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001121,0.00198827
2012,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000258,0.00044768
2012,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000084,0.00009387
2012,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",0.00000029,0.00004926
2012,Other,0.00000071,0.00012543
2013,Pharmaceutical products,0.00017797,0.06279866
2013,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000765,0.00138825
2013,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000266,0.00063124
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000037,0.00000071
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000028,0.00000285
2013,Other,0.00000104,0.00021912
2014,Pharmaceutical products,0.00018786,0.06020621
2014,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000978,0.00186660
2014,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000372,0.00078800
2014,"Ships, boats and floating structures",0.00000307,0.00001040
2014,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000129,0.00011474
2014,Other,0.00000170,0.00039178
2015,Pharmaceutical products,0.00017649,0.05554509
2015,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001208,0.00256637
2015,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000283,0.00066273
2015,"Ships, boats and floating structures",0.00000231,0.00100247
2015,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000176,0.00007594
2015,Other,0.00000128,0.00012471
2016,Pharmaceutical products,0.00024294,0.04660580
2016,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001281,0.00262455
2016,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000213,0.00062264
2016,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000155,0.00330403
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000069,0.00027667
2016,Other,0.00000093,0.00023550
2017,Pharmaceutical products,0.00019328,0.06155056
2017,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001135,0.00211384
2017,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000292,0.00067689
2017,Fertilizers,0.00000139,0.00409000
2017,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000056,0.00012296
2017,Other,0.00000140,0.00036639
2018,Pharmaceutical products,0.00028138,0.08526215
2018,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001265,0.00187257
2018,"Ships, boats and floating structures",0.00000584,0.00081423
2018,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000343,0.00067602
2018,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000072,0.00009351
2018,Other,0.00000099,0.00075292
2019,Pharmaceutical products,0.00029716,0.09859462
2019,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001501,0.00180870
2019,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000264,0.00060237
2019,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000062,0.00065092
2019,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000019,0.00001039
2019,Other,0.00000092,0.00064747
2020,Pharmaceutical products,0.00027427,0.06798217
2020,"Aircraft, spacecraft, and parts thereof",0.00012321,0.00008000
2020,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000978,0.00457443
2020,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000583,0.00093034
2020,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000205,0.00051745
2020,Other,0.00000239,0.00087631
2021,Pharmaceutical products,0.00032026,0.08242304
2021,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000855,0.00170585
2021,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000093,0.00020403
2021,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000077,0.00016331
2021,"Aircraft, spacecraft, and parts thereof",0.00000070,0.00000313
2021,Other,0.00000138,0.00040726
2022,Pharmaceutical products,0.00039005,0.09002225
2022,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000865,0.00178168
2022,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000282,0.00058580
2022,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000037,0.00000078
2022,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000030,0.00006779
2022,Other,0.00000125,0.00033778
2023,Pharmaceutical products,0.00035164,0.08818913
2023,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000632,0.00130465
2023,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000232,0.00056314
2023,"Aircraft, spacecraft, and parts thereof",0.00000044,0.00000232
2023,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000039,0.00000871
2023,Other,0.00000182,0.00062221
