imports_trln_USD,exports_trln_USD
0.00000229,0.00000105
0.00063825,0.00000775
0.00007081,0.00000070
0.00029428,0.00002855
0.00000945,0.00000546
0.00002138,0.00000609
0.00024395,0.00002019
0.00004868,0.00005578
0.00001568,0.00000404
0.00024749,0.00001054
0.00033683,0.00000778
0.00020782,0.00006388
0.00020329,0.00000548
0.00049079,0.00208830
0.00014085,0.00007825
0.00045704,0.00001563
0.00040429,0.00008501
0.00006928,0.00006769
0.00022791,0.00000509
0.00006769,0.00002570
0.00005490,0.00003140
0.00002646,0.00000082
0.00001028,0.00000097
0.00005502,0.00000035
0.00023506,0.00001815
0.00073482,0.00005733
0.00044447,0.00002729
0.00000146,0.00002601
0.00001096,0.00000577
0.00000087,0.00000009
0.00067979,0.00000626
0.00000065,0.00000001
0.00000046,0.00000150
0.00006547,0.00000004
0.00053896,0.00002918
0.00003348,0.00001713
0.00000791,0.00001258
0.00003355,0.00000097
0.00017087,0.00053767
0.00001398,0.00001424
0.00024184,0.00002389
0.00021391,0.00001727
0.00002612,0.00000685
0.00000540,0.00012197
0.00001983,0.00000297
0.00002989,0.00000171
0.00002719,0.00000868
0.00014610,0.00035112
0.00022606,0.00035910
0.00001820,0.00011311
0.00006048,0.00001280
0.00000178,0.00000198
0.00000053,0.00000043
0.00000171,0.00000003
0.00004964,0.00000699
0.00008021,0.00004931
0.00013760,0.00017449
0.00018620,0.00007160
0.00130751,0.00019781
0.00068089,0.00003302
0.00017670,0.00000400
0.00000441,0.00000003
0.00008586,0.00017258
0.00000888,0.00000004
0.00002093,0.00000035
0.00005604,0.00008423
0.00001150,0.00000812
0.00007190,0.00003101
0.00006963,0.00000477
0.00327962,0.00011219
0.00181253,0.00004074
0.00006373,0.00000073
0.00139705,0.00001044
0.00038391,0.00000615
0.00020094,0.00000164
0.00064161,0.00003631
0.00003159,0.00000170
0.00000286,0.00000054
0.00015072,0.00000011
0.00009687,0.00005987
0.00006337,0.00000270
0.00004328,0.00000862
0.00000557,0.00001969
0.00159976,0.00010075
0.00002836,0.00000517
0.00011377,0.00003792
0.00000827,0.00000072
0.00000193,0.00000080
0.00055748,0.00003069
0.00003801,0.00000066
0.00022619,0.00003551
0.00001198,0.00000254
0.00002657,0.00000547
0.00031495,0.00002214
0.00005090,0.00005967
0.00002047,0.00000380
0.00028123,0.00001973
0.00035490,0.00001298
0.00025195,0.00007602
0.00021569,0.00000623
0.00060876,0.00253723
0.00017132,0.00008176
0.00041565,0.00001646
0.00042378,0.00006089
0.00007014,0.00009076
0.00021627,0.00000501
0.00006850,0.00002112
0.00006445,0.00001780
0.00002842,0.00000043
0.00000736,0.00000064
0.00005588,0.00000081
0.00021466,0.00002459
0.00077271,0.00008435
0.00042008,0.00004660
0.00000253,0.00002546
0.00001349,0.00000534
0.00000034,0.00000000
0.00059345,0.00000560
0.00000103,0.00000000
0.00000062,0.00000098
0.00005032,0.00000084
0.00051752,0.00003086
0.00003609,0.00001344
0.00001139,0.00001392
0.00002961,0.00000068
0.00018059,0.00040565
0.00001541,0.00001823
0.00022243,0.00002718
0.00017668,0.00001829
0.00002242,0.00000706
0.00000475,0.00010755
0.00001351,0.00000319
0.00002493,0.00000155
0.00003058,0.00000710
0.00014953,0.00035681
0.00026363,0.00031740
0.00001622,0.00011604
0.00005876,0.00001142
0.00000221,0.00000199
0.00000049,0.00000008
0.00000242,0.00000005
0.00004904,0.00001287
0.00007837,0.00005689
0.00014317,0.00012841
0.00021898,0.00006640
0.00078144,0.00011783
0.00067754,0.00003140
0.00010951,0.00000631
0.00000481,0.00000022
0.00007561,0.00019384
0.00000878,0.00000002
0.00002276,0.00000035
0.00006256,0.00007447
0.00000939,0.00001059
0.00007044,0.00002536
0.00007092,0.00000534
0.00337913,0.00012325
0.00196114,0.00006053
0.00011711,0.00000103
0.00129046,0.00000654
0.00024107,0.00000190
0.00003990,0.00000210
0.00059936,0.00003522
0.00003088,0.00000159
0.00000283,0.00000061
0.00020878,0.00000284
0.00009043,0.00006595
0.00006137,0.00000221
0.00004162,0.00001493
0.00000668,0.00001919
0.00167824,0.00012465
0.00002651,0.00000440
0.00016671,0.00003830
0.00000736,0.00000057
0.00000223,0.00000089
0.00040186,0.00002641
0.00005308,0.00000072
0.00013028,0.00004570
0.00001406,0.00000241
0.00002639,0.00000503
0.00033156,0.00002789
0.00004962,0.00007130
0.00001109,0.00000594
0.00037079,0.00001698
0.00037588,0.00001358
0.00012729,0.00012322
0.00021295,0.00000729
0.00112493,0.00276110
0.00019374,0.00008431
0.00047640,0.00002189
0.00044121,0.00006558
0.00005330,0.00013656
0.00018525,0.00000738
0.00005866,0.00002068
0.00005969,0.00004203
0.00002262,0.00000083
0.00000555,0.00000142
0.00005325,0.00000071
0.00020912,0.00001707
0.00079941,0.00006929
0.00038928,0.00004054
0.00000452,0.00005301
0.00001808,0.00000650
0.00000146,0.00000021
0.00056919,0.00000668
0.00000116,0.00000057
0.00000083,0.00000096
0.00005014,0.00000082
0.00045455,0.00003554
0.00005382,0.00001611
0.00001117,0.00001076
0.00002706,0.00000116
0.00017873,0.00046768
0.00001574,0.00002574
0.00019439,0.00004520
0.00014475,0.00003622
0.00002367,0.00000824
0.00000583,0.00010563
0.00001937,0.00000254
0.00002791,0.00000249
0.00003564,0.00001010
0.00016372,0.00038152
0.00023893,0.00034693
0.00002077,0.00013248
0.00005881,0.00001777
0.00000550,0.00000144
0.00000060,0.00000007
