imports_trln_USD,exports_trln_USD
0.00000006,0.00000003
0.00011060,0.00013048
0.00005850,0.00005563
0.00005828,0.00011289
0.00012752,0.00002276
0.00003816,0.00001246
0.00012311,0.00019112
0.00006213,0.00000429
0.00011660,0.00006201
0.00001827,0.00003736
0.00022722,0.00003412
0.00014742,0.00021759
0.00021400,0.00057000
0.00541292,0.00068041
0.00008304,0.00056526
0.00014302,0.00019067
0.00042880,0.00011440
0.00000600,0.00046489
0.00011781,0.00006936
0.00012712,0.00002253
0.00008217,0.00001200
0.00001945,0.00007207
0.00001439,0.00000718
0.00001820,0.00000286
0.00020791,0.00005402
0.00042750,0.00009379
0.00034039,0.00032411
0.00004013,0.00009577
0.00001297,0.00000504
0.00001475,0.00000842
0.00007518,0.00010668
0.00000223,0.00000001
0.00000026,0.00000011
0.00003287,0.00000113
0.00033502,0.00012706
0.00005393,0.00003232
0.00000139,0.00000284
0.00008349,0.00001238
0.00009289,0.00001459
0.00000749,0.00000723
0.00008452,0.00007752
0.00011815,0.00001061
0.00003653,0.00001753
0.00001362,0.00000339
0.00001778,0.00000102
0.00007007,0.00001463
0.00004659,0.00000157
0.00004065,0.00003385
0.00007667,0.00037723
0.00005018,0.00001240
0.00008092,0.00006214
0.00000183,0.00000151
0.00000248,0.00000000
0.00000049,0.00000044
0.00005949,0.00003751
0.00006947,0.00004419
0.00006437,0.00003960
0.00007527,0.00009130
0.00021247,0.00534684
0.00015305,0.00070304
0.00005703,0.00013488
0.00002631,0.00001020
0.00009723,0.00024629
0.00000341,0.00000507
0.00001823,0.00000126
0.00007726,0.00000605
0.00000982,0.00005808
0.00005117,0.00001800
0.00003430,0.00001888
0.00173153,0.00089713
0.00081131,0.00042561
0.00010794,0.00014954
0.00088931,0.00016423
0.00004889,0.00015911
0.00001884,0.00023352
0.00031854,0.00007666
0.00000926,0.00000030
0.00000157,0.00000060
0.00000447,0.00005374
0.00013673,0.00004006
0.00001851,0.00001465
0.00002695,0.00000261
0.00000137,0.00000120
0.00002961,0.00061397
0.00001876,0.00004500
0.00003878,0.00018542
0.00000703,0.00000184
0.00000027,0.00000005
0.00008111,0.00012574
0.00002883,0.00004155
0.00007961,0.00011059
0.00007527,0.00002231
0.00001380,0.00000850
0.00012028,0.00020008
0.00007755,0.00000516
0.00004479,0.00002992
0.00001860,0.00003751
0.00016796,0.00006087
0.00015638,0.00019054
0.00019871,0.00041694
0.00474378,0.00093348
0.00006944,0.00058189
0.00014057,0.00013092
0.00030190,0.00007733
0.00000596,0.00035277
0.00009214,0.00007722
0.00010281,0.00001782
0.00008404,0.00000603
0.00001748,0.00005766
0.00000827,0.00000115
0.00001869,0.00000260
0.00011128,0.00004720
0.00036100,0.00007062
0.00021017,0.00021646
0.00003447,0.00009823
0.00001059,0.00000606
0.00000986,0.00000449
0.00005285,0.00017400
0.00000213,0.00000002
0.00000023,0.00000005
0.00003483,0.00000093
0.00028615,0.00016451
0.00004465,0.00001878
0.00000137,0.00000216
0.00005804,0.00001218
0.00006845,0.00000542
0.00000597,0.00000602
0.00008389,0.00005230
0.00010812,0.00000670
0.00002528,0.00001568
0.00002071,0.00000514
0.00002051,0.00000065
0.00003987,0.00001305
0.00003570,0.00000082
0.00004643,0.00004920
0.00007746,0.00034294
0.00003681,0.00002029
0.00007065,0.00006025
0.00000129,0.00000174
0.00000096,0.00000001
0.00000045,0.00000047
0.00004224,0.00002077
0.00007248,0.00003099
0.00003582,0.00004139
0.00010590,0.00011376
0.00011115,0.00437991
0.00011466,0.00045853
0.00005023,0.00015689
0.00002215,0.00000274
0.00006432,0.00035401
0.00000430,0.00000303
0.00001612,0.00000218
0.00006870,0.00000482
0.00001022,0.00004583
0.00005192,0.00001565
0.00002848,0.00001312
0.00118887,0.00065375
0.00061600,0.00034587
0.00007244,0.00010767
0.00047021,0.00013716
0.00007288,0.00012406
0.00001963,0.00011448
0.00023894,0.00007530
0.00000856,0.00000053
0.00000143,0.00000069
0.00000989,0.00000494
0.00009979,0.00004209
0.00001748,0.00001674
0.00002053,0.00000168
0.00000308,0.00000190
0.00012181,0.00017178
0.00003607,0.00001452
0.00003861,0.00019364
0.00000724,0.00000177
0.00000013,0.00000009
0.00006733,0.00027039
0.00003378,0.00001850
0.00006920,0.00010766
0.00008384,0.00006205
0.00001700,0.00002168
0.00004501,0.00022332
0.00008108,0.00000535
0.00005574,0.00004302
0.00001852,0.00006150
0.00014866,0.00007750
0.00013011,0.00018550
0.00038003,0.00055093
0.00568026,0.00103472
0.00009684,0.00074561
0.00018741,0.00018922
0.00032460,0.00007393
0.00000710,0.00049544
0.00009968,0.00010448
0.00010660,0.00002103
0.00006689,0.00001246
0.00002128,0.00009652
0.00000823,0.00000553
0.00001906,0.00000169
0.00013450,0.00005443
0.00049196,0.00008760
0.00021845,0.00032284
0.00003818,0.00011642
0.00000973,0.00000846
0.00001161,0.00000763
0.00005098,0.00022051
0.00000260,0.00000001
0.00000020,0.00000028
0.00004437,0.00000050
0.00032583,0.00023282
0.00004012,0.00001784
0.00000154,0.00000435
0.00008147,0.00001030
0.00008969,0.00000353
0.00001180,0.00000500
0.00010619,0.00006027
0.00012644,0.00000828
0.00003220,0.00001980
0.00003276,0.00000631
0.00002691,0.00000058
0.00005820,0.00002186
0.00003796,0.00000170
0.00004783,0.00007049
0.00006282,0.00040188
0.00003450,0.00001783
0.00010588,0.00007548
0.00000111,0.00000184
0.00000081,0.00000022
0.00000056,0.00000059
0.00004417,0.00002887
0.00008604,0.00005011
0.00004555,0.00005860
0.00013838,0.00019310
0.00026647,0.00586939
0.00013807,0.00070282
0.00005791,0.00022459
0.00004241,0.00000747
0.00008957,0.00044315
0.00000681,0.00000492
0.00001829,0.00000279
0.00005878,0.00000882
0.00001335,0.00007364
0.00004384,0.00003122
0.00003202,0.00001650
0.00149168,0.00089125
0.00067952,0.00044083
0.00004713,0.00010037
0.00050579,0.00017872
0.00003192,0.00014871
0.00002932,0.00008260
0.00025046,0.00007107
0.00000985,0.00000036
0.00000193,0.00000057
0.00000519,0.00006135
0.00009497,0.00006147
0.00002057,0.00002641
0.00002595,0.00000182
0.00000295,0.00000126
0.00006283,0.00049140
0.00003545,0.00001282
0.00004732,0.00019856
0.00000984,0.00000142
0.00000008,0.00000019
0.00009491,0.00024539
0.00003587,0.00001348
0.00011939,0.00008643
0.00008620,0.00009950
0.00001696,0.00002768
