year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05140714,2.64315130
2005,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02092840,0.68803612
2005,Pharmaceutical products,0.01836277,2.41702570
2005,Other,0.21770968,313.96707109
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.15719747,499.85344919
2006,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.06489499,1.86432497
2006,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05422187,3.02831740
2006,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02442971,0.72136349
2006,"Ores, slag and ash",0.02020539,154.23605268
2006,Other,0.23767177,160.68873401
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.17057166,508.50081182
2007,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.07611292,2.05070268
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05650554,3.45835524
2007,"Ores, slag and ash",0.02499482,160.14758569
2007,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02197145,0.68543826
2007,Other,0.25977914,166.47189320
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.26223618,535.43525424
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.07915377,2.38313864
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05987067,3.41925871
2008,"Ores, slag and ash",0.02739186,163.02681885
2008,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02290025,0.66350965
2008,Other,0.29265813,161.65615235
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.15037606,445.35853078
2009,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.06768807,1.92309846
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.04695781,2.22289454
2009,Pharmaceutical products,0.02352295,1.95198483
2009,"Ores, slag and ash",0.01934237,119.92900933
2009,Other,0.23225906,132.45014949
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.19682219,481.44748465
2010,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08665527,2.33443507
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05663734,2.89696458
2010,"Ores, slag and ash",0.03037181,152.25228254
2010,Pharmaceutical products,0.02663127,1.97740309
2010,Other,0.27797537,149.99506721
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.26679975,480.58877051
2011,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.09423464,2.50400831
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06452040,3.37308708
2011,"Ores, slag and ash",0.03557920,140.81811189
2011,Pharmaceutical products,0.03211501,1.97116502
2011,Other,0.33211660,155.44695191
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.29533813,504.39063894
2012,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08813891,2.28829791
2012,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06363529,3.53437933
2012,Pharmaceutical products,0.03454944,1.93851793
2012,"Ores, slag and ash",0.03249278,146.09211359
2012,Other,0.33098141,152.97907286
2013,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.27585134,507.72229301
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08616795,2.33420904
2013,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06173363,3.31231067
2013,Pharmaceutical products,0.03094762,1.81022670
2013,"Ores, slag and ash",0.03088578,153.69961424
2013,Other,0.31287161,151.86144979
2014,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.25793537,496.56843284
2014,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08756122,2.11377081
2014,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06414667,3.59213918
2014,Pharmaceutical products,0.02945639,1.78217593
2014,"Ores, slag and ash",0.02903871,154.97895682
2014,Other,0.31154212,151.49148961
2015,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.12589810,391.10214591
2015,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08198308,2.46150754
2015,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05762469,3.35093935
2015,Pharmaceutical products,0.03224159,1.83640557
2015,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02737931,0.72607172
2015,Other,0.27590215,290.21206537
2016,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.11013486,482.60823963
2016,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08757257,2.44084105
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.05828849,2.78073332
2016,Pharmaceutical products,0.03382444,1.73911445
2016,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02726622,0.73033874
2016,Other,0.27408527,291.58788325
2017,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.14021119,479.59700185
2017,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.09306475,2.23723372
2017,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06353409,3.55056800
2017,Pharmaceutical products,0.03250292,1.81391469
2017,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02935535,0.70450624
2017,Other,0.29332520,290.23977261
2018,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.17073695,466.92616895
2018,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.10082142,2.26417286
2018,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06974648,3.86231727
2018,Pharmaceutical products,0.03541819,1.70738441
2018,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.03262955,0.72598535
2018,Other,0.31917654,283.39238133
2019,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.15342690,550.44725341
2019,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.08903168,2.29131417
2019,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.07029533,3.81488984
2019,Pharmaceutical products,0.03558220,1.69159033
2019,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.03111271,0.75881441
2019,Other,0.31574763,283.11003401
2020,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.10467425,413.08682320
2020,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.09606025,2.41549826
2020,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.06635460,3.36022096
2020,Pharmaceutical products,0.03602211,1.54765720
2020,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.02977754,0.69680436
