country_code,country_name,imports,exports,net_trade
USA,United States,2500000,1800000,-700000
CHN,China,2100000,2600000,500000
DEU,Germany,1200000,1400000,200000
JPN,Japan,680000,640000,-40000
GBR,United Kingdom,640000,460000,-180000
FRA,France,580000,520000,-60000
IND,India,480000,320000,-160000
ITA,Italy,450000,430000,-20000
BRA,Brazil,240000,220000,-20000
CAN,Canada,420000,450000,30000
RUS,Russia,280000,350000,70000   
KOR,South Korea,520000,550000,30000
AUS,Australia,220000,250000,30000
MEX,Mexico,410000,390000,-20000
IDN,Indonesia,180000,200000,20000
TUR,Turkey,210000,180000,-30000
SAU,Saudi Arabia,140000,280000,140000
NLD,Netherlands,580000,650000,70000
SGP,Singapore,320000,380000,60000
CHE,Switzerland,280000,310000,30000 
