year,country,value_bln_USD,quantity_mln_metric_tons
2023,AFG,-0.03000000,1.46844504
2023,ALB,-0.34000000,-0.14920276
2023,DZA,46.78000000,67.16481647
2023,ASM,-0.07000000,-0.08943199
2023,AND,-0.17000000,-0.14082398
2023,AGO,31.17000000,60.66666491
2023,ATG,-0.00000000,-0.16527230
2023,AZE,25.79000000,43.34027372
2023,ARG,-1.33000000,2.25404972
2023,AUS,85.74000000,406.30770559
2023,AUT,-7.46000000,-13.67899562
2023,BHS,-2.42000000,-3.02194961
2023,BHR,6.58000000,6.65935222
2023,BGD,-12.30000000,-23.62072190
2023,ARM,-0.98000000,-2.69789215
2023,BRB,-0.60000000,-0.58150910
2023,BEL,3.69000000,1.61394542
2023,BMU,-0.01000000,-0.02998792
2023,BTN,-0.22000000,-0.33204130
2023,BOL,0.25000000,5.15794647
2023,BIH,-1.27000000,-1.71966026
2023,BWA,-1.22000000,-0.36400674
2023,BRA,18.35000000,32.22653008
2023,BLZ,-0.23000000,-0.45392202
2023,IOT,-0.04000000,-0.02968368
2023,SLB,-0.07000000,-0.07794502
2023,VGB,-0.04000000,-0.02903748
2023,BRN,3.71000000,4.79882938
2023,BGR,-1.42000000,-3.94804555
2023,MMR,-2.69000000,0.72881023
2023,BDI,-0.01000000,-0.02520372
2023,BLR,-0.07000000,0.25014329
2023,KHM,-4.44000000,-9.39003772
2023,CMR,3.20000000,5.09943673
2023,CAN,114.75000000,250.60674983
2023,CPV,-0.80000000,-0.95228543
2023,CYM,-0.18000000,-0.35374787
2023,CAF,-0.11000000,-0.10125721
2023,LKA,-3.74000000,-7.52305450
2023,TCD,2.99000000,4.98307423
2023,CHL,-15.45000000,-27.66421070
2023,CHN,-438.06000000,-1042.00264371
2023,CXR,,
2023,CCK,-0.00000000,-0.00029278
2023,COL,22.42000000,98.21793596
2023,COM,-0.04000000,-0.03897149
2023,COG,6.70000000,10.96828055
2023,COD,0.52000000,0.67273435
2023,COK,-0.04000000,-0.04462469
2023,CRI,-2.65000000,-3.21790920
2023,HRV,-4.93000000,-8.35757947
2023,CUB,-0.05000000,-0.04480719
2023,CYP,-1.61000000,-2.70586373
2023,CZE,-8.77000000,-15.57985501
2023,BEN,-0.53000000,-0.73245970
2023,DNK,-10.31000000,-6.75573342
2023,DMA,-0.06000000,-0.05274848
2023,DOM,-5.46000000,-10.22424996
2023,ECU,6.79000000,17.21078451
2023,SLV,-2.31000000,-3.09655020
2023,GNQ,4.67000000,6.10666078
2023,ETH,-2.58000000,-4.32669221
2023,ERI,-0.01000000,-0.00407639
2023,EST,-0.40000000,0.12379264
2023,FLK,,
2023,FJI,-0.65000000,-0.88490603
2023,FIN,-4.46000000,-9.26346913
2023,FRA,-75.88000000,-120.09496372
2023,PYF,-0.06000000,-0.07967390
2023,ATF,,
2023,DJI,-1.00000000,-1.20782996
2023,GAB,5.98000000,10.63621175
2023,GEO,-1.24000000,-3.50510741
2023,GMB,-0.44000000,-0.80674107
2023,PSE,-0.07000000,-0.04007710
2023,DEU,-88.75000000,-163.21368559
2023,GHA,0.72000000,2.93628344
2023,GIB,-9.09000000,-13.36498580
2023,KIR,,
2023,GRC,-6.84000000,-14.06026805
2023,GRL,-0.25000000,-0.27344884
2023,GRD,-0.11000000,-0.04001238
2023,GUM,-0.56000000,-0.68048016
2023,GTM,-4.83000000,-6.92159919
2023,GIN,-0.67000000,-0.78687403
2023,GUY,12.56000000,16.32901217
2023,HTI,-0.55000000,-0.76877723
2023,HND,-2.54000000,-3.35049095
2023,HKG,-14.25000000,-28.06150077
2023,HUN,-10.76000000,-13.03002018
2023,ISL,-1.13000000,-1.28516609
2023,IDN,29.26000000,444.72888691
2023,IRN,1.09000000,2.85614250
2023,IRQ,98.43000000,173.53645725
2023,IRL,-9.86000000,-12.28186427
2023,ISR,0.36000000,-3.35933788
2023,ITA,-77.15000000,-119.16027205
2023,CIV,-1.00000000,-2.64074722
2023,JAM,-1.42000000,-1.94400914
2023,JPN,-174.14000000,-378.90757448
2023,KAZ,41.95000000,102.29319281
2023,JOR,-3.47000000,-4.34460360
2023,KEN,-4.40000000,-6.97759269
2023,PRK,-0.01000000,-0.05474298
2023,KOR,-15.72000000,-58.23851304
2023,KWT,60.51000000,115.10861435
2023,KGZ,-0.53000000,0.80709890
2023,LAO,0.77000000,-1.13131432
2023,LBN,-4.79000000,-4.20952513
2023,LSO,-0.27000000,-0.34710042
2023,LVA,-1.09000000,-1.64433815
2023,LBR,-1.38000000,-1.58628408
2023,LBY,28.76000000,85.32588650
2023,LTU,-3.27000000,-3.70278847
2023,LUX,-2.69000000,-2.91364083
2023,MAC,-0.88000000,-0.41860690
2023,MDG,-0.95000000,-1.49667715
2023,MWI,-0.60000000,-0.53271216
2023,MYS,33.98000000,47.13022200
2023,MDV,-0.71000000,-0.82030664
2023,MLI,-2.03000000,-1.99596303
2023,MLT,1.39000000,-1.35355305
2023,MRT,-0.80000000,-0.92227379
2023,MUS,-1.44000000,-2.76207469
2023,MEX,-5.02000000,8.91053322
2023,S19,-50.51000000,-129.12898380
2023,MNG,8.62000000,46.57747132
2023,MDA,-1.45000000,-1.80033141
2023,MNE,0.21000000,-0.28730349
2023,MSR,-0.01000000,-0.00789083
2023,MAR,-12.55000000,-39.72796004
2023,MOZ,1.51000000,16.85379159
2023,OMN,37.42000000,59.44103382
2023,NAM,-1.45000000,-1.41122379
2023,NRU,-0.00000000,-0.00384752
2023,NPL,-2.33000000,-3.58082523
2023,NLD,-28.41000000,-94.20438158
2023,CUW,-0.18000000,-0.26978668
2023,ABW,-0.11000000,-0.14607180
2023,SXM,-0.12000000,-0.15503036
2023,BES,-0.52000000,-1.22130855
2023,NCL,-0.65000000,-1.73393542
2023,VUT,-0.07000000,-0.09334589
2023,NZL,-6.67000000,-8.25574941
2023,NIC,-1.49000000,-1.67800017
2023,NER,-0.02000000,0.04210943
2023,NGA,34.15000000,68.69225752
2023,NIU,,
2023,NFK,-0.00000000,-0.00507352
2023,NOR,121.66000000,186.26131841
2023,MNP,-0.09000000,-0.10674879
2023,FSM,,
2023,MHL,-2.03000000,-3.12061377
2023,PLW,-0.03000000,-0.03607208
2023,PAK,-16.79000000,-29.18902142
2023,PAN,-13.45000000,-17.14721571
2023,PNG,5.41000000,7.57336275
2023,PRY,-0.53000000,-2.18111512
2023,PER,-4.69000000,-3.08255703
2023,PHL,-18.79000000,-213.78759503
2023,PCN,-0.00000000,-0.00139019
2023,POL,-25.79000000,-43.85297840
2023,PRT,-9.34000000,-14.29786447
2023,GNB,,
2023,TLS,-0.01000000,0.02040182
2023,QAT,104.94000000,115.49055813
2023,ROU,-6.03000000,-10.12510946
2023,RUS,240.37000000,484.52886254
2023,RWA,-0.03000000,-0.11034197
2023,BLM,0.00000000,0.00001649
2023,SHN,-0.03000000,-0.02325485
2023,KNA,-0.04000000,-0.05666456
2023,AIA,-0.02000000,-0.01029842
2023,LCA,-0.53000000,-0.70523603
2023,SPM,-0.01000000,-0.01280294
2023,VCT,-0.07000000,-0.23852858
2023,SMR,-0.05000000,-0.02658167
2023,STP,0.01000000,0.03358895
2023,SAU,212.07000000,447.89950252
2023,SEN,-2.63000000,-5.12737790
2023,SRB,-3.42000000,-10.04192474
2023,SYC,-0.36000000,-0.41557397
2023,SLE,-0.05000000,-0.03835474
2023,IND,-163.38000000,-522.50981759
2023,SGP,-35.59000000,-73.78206646
2023,SVK,-4.59000000,-9.98881928
2023,VNM,-9.75000000,-50.92523133
2023,SVN,-2.27000000,-3.64307730
2023,SOM,-0.13000000,-0.11473703
2023,ZAF,-9.65000000,42.88202049
2023,ZWE,-1.63000000,-0.71761394
2023,ESP,-41.02000000,-71.13703597
2023,SSD,0.58000000,0.92848748
2023,SDN,0.96000000,1.68977462
2023,SUR,-0.06000000,0.01800453
