year,quantity_mln_metric_tons
1995,6.90000000
1996,7.58000000
1997,7.92000000
1998,7.30000000
1999,8.64000000
2000,7.71000000
2001,7.94000000
2002,8.40000000
2003,8.63000000
2004,9.40000000
2005,9.82000000
2006,10.53000000
2007,11.00000000
2008,11.99000000
2009,10.43000000
2010,12.14000000
2011,11.97000000
2012,12.91000000
2013,13.38000000
2014,13.10000000
2015,13.48000000
2016,14.23000000
2017,14.50000000
2018,14.24000000
2019,15.20000000
2020,14.58000000
2021,14.72000000
2022,14.23000000
2023,15.12000000
