year,imports_trln_USD,imports_mln_metric_tons,exports_trln_USD,exports_mln_metric_tons,balance_trln_USD,balance_mln_metric_tons
1995,0.00125532,5.72352079,0.00020319,1.00100993,-0.00105214,-4.72251085
1996,0.00166025,6.66700600,0.00002756,0.08370717,-0.00163270,-6.58329883
1997,0.00127920,6.08189028,0.00000111,0.00460675,-0.00127809,-6.07728353
1998,0.00124018,5.73297231,0.00001319,0.01447159,-0.00122699,-5.71850073
1999,0.00135998,7.48463383,0.00000803,0.02543204,-0.00135195,-7.45920179
2000,0.00164609,7.97907899,0.00001380,0.04588723,-0.00163228,-7.93319176
2001,0.00119164,6.39678922,0.00001046,0.01989263,-0.00118118,-6.37689658
2002,0.00152325,8.21671801,0.00002217,0.05735095,-0.00150108,-8.15936706
2003,0.00195855,10.27112564,0.00006085,0.22735332,-0.00189770,-10.04377233
2004,0.00194278,7.60000609,0.00004320,0.06555792,-0.00189959,-7.53444818
2005,0.00235623,9.50211191,0.00004663,0.02665033,-0.00230960,-9.47546158
2006,0.00227750,9.59811671,0.00003826,0.02101519,-0.00223924,-9.57710152
2007,0.00344451,10.98689351,0.00006164,0.03519881,-0.00338287,-10.95169470
2008,0.00485042,11.76107724,0.00005066,0.02904480,-0.00479975,-11.73203244
2009,0.00376010,12.02129759,0.00010282,0.04489011,-0.00365728,-11.97640748
2010,0.00403962,12.90990553,0.00012783,0.05056604,-0.00391179,-12.85933949
2011,0.00482773,12.53385751,0.00018813,0.04387547,-0.00463959,-12.48998204
2012,0.00537518,14.29126308,0.00021043,0.03266408,-0.00516474,-14.25859900
2013,0.00649120,16.57866756,0.00011871,0.02093507,-0.00637249,-16.55773249
2014,0.00592913,15.06360937,0.00018741,0.01781494,-0.00574173,-15.04579442
2015,0.00562793,17.09531039,0.00011226,0.02029515,-0.00551567,-17.07501524
2016,0.00461649,17.13723385,0.00005456,0.02352705,-0.00456193,-17.11370679
2017,0.00484430,18.55603274,0.00011515,0.03880051,-0.00472915,-18.51723223
2018,0.00529346,18.06082604,0.00009936,0.02048832,-0.00519410,-18.04033773
2019,0.00443168,13.56983528,0.00005154,0.00928885,-0.00438014,-13.56054643
2020,0.00496159,16.82500014,0.00005624,0.01110608,-0.00490535,-16.81389406
2021,0.00540445,15.51454036,0.00007669,0.02496507,-0.00532776,-15.48957529
2022,0.00726215,16.33235325,0.00007493,0.03092526,-0.00718722,-16.30142799
2023,0.00655773,9.17715869,0.00005855,0.02289645,-0.00649918,-9.15426225
