product_chapter,0
38,"{'23': 'Food industries, residues and wastes thereof; prepared animal fodder'}"
39,"{'19': ""Preparations of cereals, flour, starch or milk; pastrycooks' products""}"
40,{'30': 'Pharmaceutical products'}
41,{'54': 'Man-made filaments; strip and the like of man-made textile materials'}
42,"{'63': 'Textiles, made up articles; sets; worn clothing and worn textile articles; rags'}"
43,"{'20': 'Preparations of vegetables, fruit, nuts or other parts of plants'}"
44,{'40': 'Rubber and articles thereof'}
45,"{'42': 'Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)'}"
46,{'44': 'Wood and articles of wood; wood charcoal'}
47,{'72': 'Iron and steel'}
48,"{'81': 'Metals; n.e.c., cermets and articles thereof'}"
49,{'14': 'Vegetable plaiting materials; vegetable products not elsewhere specified or included'}
50,{'96': 'Miscellaneous manufactured articles'}
51,"{'22': 'Beverages, spirits and vinegar'}"
52,"{'32': 'Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks'}"
53,{'92': 'Musical instruments; parts and accessories of such articles'}
54,{'60': 'Fabrics; knitted or crocheted'}
55,"{'49': 'Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans'}"
56,{'17': 'Sugars and sugar confectionery'}
57,"{'25': 'Salt; sulphur; earths, stone; plastering materials, lime and cement'}"
58,{'76': 'Aluminium and articles thereof'}
59,"{'16': 'Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof'}"
60,{'18': 'Cocoa and cocoa preparations'}
61,"{'13': 'Lac; gums, resins and other vegetable saps and extracts'}"
62,"{'15': 'Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes'}"
63,"{'28': 'Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes'}"
64,{'47': 'Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard'}
65,{'74': 'Copper and articles thereof'}
